Name_Time (Seconds)_1,Right_Shoulder_Angle,Flag
0.0,129.3880757681992,0
0.01,129.3877819454744,0
0.02,129.39552132204514,0
0.03,129.3932975405019,0
0.04,129.36583632570677,0
0.05,129.3571916812101,0
0.06,129.36470654339348,0
0.07,129.3727668579494,0
0.08,129.37292817433317,0
0.09,129.3693298633853,0
0.1,129.37661602880223,0
0.11,129.37662731476993,0
0.12,129.38254191325882,0
0.13,129.3851688242109,0
0.14,129.38568154216736,0
0.15,129.39387159033288,0
0.16,129.3922838848882,0
0.17,129.3929910252775,0
0.18,129.39509473241995,0
0.19,129.40532349369403,0
0.2,129.4077554924688,0
0.21,129.40315641824833,0
0.22,129.39912219886682,0
0.23,129.4126284165436,0
0.24,129.4096085936128,0
0.25,129.4102377058764,0
0.26,129.40202185691098,0
0.27,129.41789216044543,0
0.28,129.42025548470602,0
0.29,129.43014185394335,0
0.3,129.44055186712745,0
0.31,129.47860556524648,0
0.32,129.4886015165798,0
0.33,129.48468387813847,0
0.34,129.48738218111515,0
0.35,129.4941606307911,0
0.36,129.48954438935172,0
0.37,129.49132335932887,0
0.38,129.4907461957892,0
0.39,129.4871102549593,0
0.4,129.5038219794237,0
0.41,129.50785809682094,0
0.42,129.49536913356093,0
0.43,129.50455263126662,0
0.44,129.5108243542394,0
0.45,129.51750047750494,0
0.46,129.51148117696016,0
0.47,129.51312594803602,0
0.48,129.51523804752892,0
0.49,129.52430908095835,0
0.5,129.52533064658925,0
0.51,129.53346522872678,0
0.52,129.53767889205176,0
0.53,129.5410901804508,0
0.54,129.54362768087077,0
0.55,129.5467143766709,0
0.56,129.55460077405087,0
0.57,129.5531949423953,0
0.58,129.55786402972927,0
0.59,129.5626585841105,0
0.6,129.56634175034202,0
0.61,129.5512603659451,0
0.62,129.5449926804754,0
0.63,129.54506010170172,0
0.64,129.5464876921157,0
0.65,129.54589101366668,0
0.66,129.50864970199325,0
0.67,129.4934844259764,0
0.68,129.49600217130816,0
0.69,129.49950308930485,0
0.7,129.50264908661833,0
0.71,129.51160668399555,0
0.72,129.51736983816986,0
0.73,129.51514810435594,0
0.74,129.51676108814627,0
0.75,129.51891715404457,0
0.76,129.52471630957254,0
0.77,129.52330427606373,0
0.78,129.51088730754765,0
0.79,129.52388450033587,0
0.8,129.52645472814444,0
0.81,129.52663519897683,0
0.82,129.53629990211306,0
0.83,129.5342656111687,0
0.84,129.52299771145348,0
0.85,129.52303480282478,0
0.86,129.50084144044982,0
0.87,129.49260852674342,0
0.88,129.4887819333628,0
0.89,129.48900167707535,0
0.9,129.48948633145446,0
0.91,129.51659231062771,0
0.92,129.50190110626656,0
0.93,129.4984962334774,0
0.94,129.4938394724295,0
0.95,129.5150459348891,0
0.96,129.518544870239,0
0.97,129.5098301768838,0
0.98,129.5142847175454,0
0.99,129.48925428864442,0
1.0,129.4922349418743,0
1.01,129.48908586341352,0
1.02,129.49661257428423,0
1.03,129.49737515609604,0
1.04,129.50014998155265,0
1.05,129.50515778350925,0
1.06,129.50707931134974,0
1.07,129.50758905532254,0
1.08,129.50965642437893,0
1.09,129.50484733300848,0
1.1,129.50283284503524,0
1.11,129.50553461116982,0
1.12,129.50926637576177,0
1.13,129.5258318669628,0
1.14,129.52144071424502,0
1.15,129.53103046138722,0
1.16,129.51552565437106,0
1.17,129.52835527908672,0
1.18,129.53069283757844,0
1.19,129.52341127313227,0
1.2,129.5264608320452,0
1.21,129.52041753172762,0
1.22,129.51914194368032,0
1.23,129.52036693140624,0
1.24,129.5111729689047,0
1.25,129.5104895482488,0
1.26,129.50366148802703,0
1.27,129.51121447320037,0
1.28,129.496833944319,0
1.29,129.51171743261787,0
1.3,129.50494443845056,0
1.31,129.4963498944636,0
1.32,129.50503058046834,0
1.33,129.49769655927227,0
1.34,129.49988642169663,0
1.35,129.47307485565676,0
1.36,129.45946574555873,0
1.37,129.49410584955686,0
1.38,129.4761522113882,0
1.39,129.49987862829389,0
1.4,129.49655981394096,0
1.41,129.49984778948257,0
1.42,129.49661790474,0
1.43,129.48965895594188,0
1.44,129.48785293700416,0
1.45,129.4947159673609,0
1.46,129.49388910810006,0
1.47,129.4937348145925,0
1.48,129.49530816616456,0
1.49,129.49892628573335,0
1.5,129.4974931675293,0
1.51,129.49236579923385,0
1.52,129.48522769240847,0
1.53,129.48503269157348,0
1.54,129.47564665160985,0
1.55,129.48094029703142,0
1.56,129.47914249647374,0
1.57,129.48104421154105,0
1.58,129.47478900113734,0
1.59,129.4836851279202,0
1.6,129.48559476552788,0
1.61,129.49326295534016,0
1.62,129.4901600473257,0
